service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
3257L,1,0,0,0,0,0,0,20220516,20220516                                                                                                                 
3258M,0,1,0,0,0,0,0,20220517,20220517                                                                                                                 
3259X,0,0,1,0,0,0,0,20220518,20220518                                                                                                                 
3260J,0,0,0,1,0,0,0,20220519,20220519                                                                                                                 
3261V,0,0,0,0,1,0,0,20220520,20220520                                                                                                                 
3262S,0,0,0,0,0,1,0,20220521,20220521                                                                                                                 
3263D,0,0,0,0,0,0,1,20220522,20220522                                                                                                                 
3264L,1,0,0,0,0,0,0,20220523,20220523                                                                                                                 
3265M,0,1,0,0,0,0,0,20220524,20220524                                                                                                                 
3266X,0,0,1,0,0,0,0,20220525,20220525                                                                                                                 
3267J,0,0,0,1,0,0,0,20220526,20220526                                                                                                                 
4037M,0,1,0,0,0,0,0,20220426,20220426                                                                                                                 
4038X,0,0,1,0,0,0,0,20220427,20220427                                                                                                                 
4039J,0,0,0,1,0,0,0,20220428,20220428                                                                                                                 
4040V,0,0,0,0,1,0,0,20220429,20220429                                                                                                                 
4041S,0,0,0,0,0,1,0,20220430,20220430                                                                                                                 
4042D,0,0,0,0,0,0,1,20220501,20220501                                                                                                                 
4043L,1,0,0,0,0,0,0,20220502,20220502                                                                                                                 
4044M,0,1,0,0,0,0,0,20220503,20220503                                                                                                                 
4045X,0,0,1,0,0,0,0,20220504,20220504                                                                                                                 
4046J,0,0,0,1,0,0,0,20220505,20220505                                                                                                                 
4047V,0,0,0,0,1,0,0,20220506,20220506                                                                                                                 
4048S,0,0,0,0,0,1,0,20220507,20220507                                                                                                                 
4049D,0,0,0,0,0,0,1,20220508,20220508                                                                                                                 
4050L,1,0,0,0,0,0,0,20220509,20220509                                                                                                                 
4051M,0,1,0,0,0,0,0,20220510,20220510                                                                                                                 
4052X,0,0,1,0,0,0,0,20220511,20220511                                                                                                                 
4053J,0,0,0,1,0,0,0,20220512,20220512                                                                                                                 
4054V,0,0,0,0,1,0,0,20220513,20220513                                                                                                                 
4055S,0,0,0,0,0,1,0,20220514,20220514                                                                                                                 
4056D,0,0,0,0,0,0,1,20220515,20220515                                                                                                                 
4057L,1,0,0,0,0,0,0,20220516,20220516                                                                                                                 
4058M,0,1,0,0,0,0,0,20220517,20220517                                                                                                                 
4059X,0,0,1,0,0,0,0,20220518,20220518                                                                                                                 
4060J,0,0,0,1,0,0,0,20220519,20220519                                                                                                                 
4061V,0,0,0,0,1,0,0,20220520,20220520                                                                                                                 
4062S,0,0,0,0,0,1,0,20220521,20220521                                                                                                                 
4063D,0,0,0,0,0,0,1,20220522,20220522                                                                                                                 
4064L,1,0,0,0,0,0,0,20220523,20220523                                                                                                                 
4065M,0,1,0,0,0,0,0,20220524,20220524                                                                                                                 
4066X,0,0,1,0,0,0,0,20220525,20220525                                                                                                                 
4067J,0,0,0,1,0,0,0,20220526,20220526                                                                                                                 
4137M,0,1,0,0,0,0,0,20220426,20220426                                                                                                                 
4138X,0,0,1,0,0,0,0,20220427,20220427                                                                                                                 
4139J,0,0,0,1,0,0,0,20220428,20220428                                                                                                                 
4140V,0,0,0,0,1,0,0,20220429,20220429                                                                                                                 
4141S,0,0,0,0,0,1,0,20220430,20220430                                                                                                                 
4142D,0,0,0,0,0,0,1,20220501,20220501                                                                                                                 
4143L,1,0,0,0,0,0,0,20220502,20220502                                                                                                                 
4144M,0,1,0,0,0,0,0,20220503,20220503                                                                                                                 
4145X,0,0,1,0,0,0,0,20220504,20220504                                                                                                                 
4146J,0,0,0,1,0,0,0,20220505,20220505                                                                                                                 
4147V,0,0,0,0,1,0,0,20220506,20220506                                                                                                                 
4148S,0,0,0,0,0,1,0,20220507,20220507                                                                                                                 
4149D,0,0,0,0,0,0,1,20220508,20220508                                                                                                                 
4150L,1,0,0,0,0,0,0,20220509,20220509                                                                                                                 
4151M,0,1,0,0,0,0,0,20220510,20220510                                                                                                                 
4152X,0,0,1,0,0,0,0,20220511,20220511                                                                                                                 
4153J,0,0,0,1,0,0,0,20220512,20220512                                                                                                                 
4154V,0,0,0,0,1,0,0,20220513,20220513                                                                                                                 
4155S,0,0,0,0,0,1,0,20220514,20220514                                                                                                                 
4156D,0,0,0,0,0,0,1,20220515,20220515                                                                                                                 
4157L,1,0,0,0,0,0,0,20220516,20220516                                                                                                                 
4158M,0,1,0,0,0,0,0,20220517,20220517                                                                                                                 
4159X,0,0,1,0,0,0,0,20220518,20220518                                                                                                                 
4160J,0,0,0,1,0,0,0,20220519,20220519                                                                                                                 
4161V,0,0,0,0,1,0,0,20220520,20220520                                                                                                                 
4162S,0,0,0,0,0,1,0,20220521,20220521                                                                                                                 
4163D,0,0,0,0,0,0,1,20220522,20220522                                                                                                                 
4164L,1,0,0,0,0,0,0,20220523,20220523                                                                                                                 
4165M,0,1,0,0,0,0,0,20220524,20220524                                                                                                                 
4166X,0,0,1,0,0,0,0,20220525,20220525                                                                                                                 
4167J,0,0,0,1,0,0,0,20220526,20220526                                                                                                                 
5037M,0,1,0,0,0,0,0,20220426,20220426                                                                                                                 
5038X,0,0,1,0,0,0,0,20220427,20220427                                                                                                                 
5039J,0,0,0,1,0,0,0,20220428,20220428                                                                                                                 
5040V,0,0,0,0,1,0,0,20220429,20220429                                                                                                                 
5041S,0,0,0,0,0,1,0,20220430,20220430                                                                                                                 
5042D,0,0,0,0,0,0,1,20220501,20220501                                                                                                                 
5043L,1,0,0,0,0,0,0,20220502,20220502                                                                                                                 
5044M,0,1,0,0,0,0,0,20220503,20220503                                                                                                                 
5045X,0,0,1,0,0,0,0,20220504,20220504                                                                                                                 
5046J,0,0,0,1,0,0,0,20220505,20220505                                                                                                                 
5047V,0,0,0,0,1,0,0,20220506,20220506                                                                                                                 
5048S,0,0,0,0,0,1,0,20220507,20220507                                                                                                                 
5049D,0,0,0,0,0,0,1,20220508,20220508                                                                                                                 
5050L,1,0,0,0,0,0,0,20220509,20220509                                                                                                                 
5051M,0,1,0,0,0,0,0,20220510,20220510                                                                                                                 
5052X,0,0,1,0,0,0,0,20220511,20220511                                                                                                                 
5053J,0,0,0,1,0,0,0,20220512,20220512                                                                                                                 
5054V,0,0,0,0,1,0,0,20220513,20220513                                                                                                                 
5055S,0,0,0,0,0,1,0,20220514,20220514                                                                                                                 
